Site ID,Lat,Long,GenusRich,sqrtGenusRich,PAR,PHOS,SALINITY,SST.MEAN,SST.MAX,SST.MIN,SST.RANGE
423,-11.2,-77.61,87,9.33,40.24,1.26,35,18.22,21.63,16.56,4.56
424,18.14,-69.91,80,8.94,44.78,0.08,35,27.59,29.62,26.6,2.6
425,-21.84,13.29,110,10.49,39.61,0.85,35,16.59,20.24,14.62,5.18
426,-18.58,12.24,67,8.19,40.42,0.94,35,16.61,20.65,14.48,5.81
427,-21.3,13.66,76,8.72,40.4,0.89,35,16.44,20.41,14.26,5.52
428,-24.56,14.7,76,8.72,41.24,1.09,34.5,14.32,17.39,13,4.03
431,32.24,-116.75,278,16.67,39.91,0.36,33,17.09,20.95,15.07,5.18
432,-9.77,160.05,106,10.3,43.32,0.19,34,29.04,30.97,28.57,1.96
433,22,-159.5,88,9.38,44.49,0.17,34,25.02,27.17,24.2,2.4
434,21.5,-158,175,13.23,44.55,0.17,34,25.14,27.06,24.36,2.03
435,21,-157,83,9.11,44.72,0.18,34,25.25,27.09,24.47,2.03
436,21,-150,138,11.75,43.78,0.16,34,24,25.95,23.39,2
437,19.5,-156.5,109,10.44,45.48,0.2,34,25.61,27.4,24.94,2
438,-60,-61,68,8.25,27.19,1.64,33,0,2.89,0,3.71
439,-54,-66,28,5.29,33.02,1.33,33,7,9.95,5.22,4.26
440,-52,-60,28,5.29,31.41,1.22,32.93,6.91,11.1,3.99,6.57
441,-54,-36,38,6.16,29.78,1.45,33,1,3.6,0,3.04
442,-53,73.5,29,5.39,25.65,1.82,33,1.78,3.36,0.99,2
443,-54.5,159,30,5.48,26.57,1.3,34,5,6.95,3.94,2.53
444,22.31,-79.29,133,11.53,43,0.07,36,27.69,31.1,24.98,5.59
445,9,167,112,10.58,45.27,0.22,34,28,29.76,27.77,1.37
446,-7.95,-14.37,46,6.78,47.7,0.18,36,25,27.81,24.13,3.03
447,-15.93,-5.7,34,5.83,42.95,0.21,36,22,25.26,20.47,4.05
448,16,-24,151,12.29,45.33,0.14,36,24,26.92,22.26,4.03
